LinkID,EndPointID,CRUID,FEEID,ModuleType,LocalChannelID,channel #,EndPoint/Link,Module,PM channel,HV board,HV channel,MCP S/N,HV cable,signal cable
4,1,0,12,PM,3,146,1/4,PMC4,PMC4/Ch03,3,HVC3/08,2137,FTC-E4,FTC-E4-3
4,1,0,12,PM,4,147,1/4,PMC4,PMC4/Ch04,3,HVC3/08,2137,FTC-E4,FTC-E4-4
4,1,0,12,PM,5,148,1/4,PMC4,PMC4/Ch05,3,HVC3/10,2152,FTC-F4,FTC-F4-2
4,1,0,12,PM,6,149,1/4,PMC4,PMC4/Ch06,3,HVC3/10,2152,FTC-F4,FTC-F4-1
4,1,0,12,PM,7,150,1/4,PMC4,PMC4/Ch07,3,HVC3/10,2152,FTC-F4,FTC-F4-3
4,1,0,12,PM,8,151,1/4,PMC4,PMC4/Ch08,3,HVC3/10,2152,FTC-F4,FTC-F4-4
4,1,0,12,PM,9,152,1/4,PMC4,PMC4/Ch09,3,HVC3/11,2142,FTC-F5,FTC-F5-2
4,1,0,12,PM,10,153,1/4,PMC4,PMC4/Ch10,3,HVC3/11,2142,FTC-F5,FTC-F5-1
4,1,0,12,PM,11,154,1/4,PMC4,PMC4/Ch11,3,HVC3/11,2142,FTC-F5,FTC-F5-3
4,1,0,12,PM,12,155,1/4,PMC4,PMC4/Ch12,3,HVC3/11,2142,FTC-F5,FTC-F5-4
5,1,0,13,PM,1,156,1/5,PMC5,PMC5/Ch01,3,HVC3/06,2157,FTC-D5,FTC-D5-1
5,1,0,13,PM,2,157,1/5,PMC5,PMC5/Ch02,3,HVC3/06,2157,FTC-D5,FTC-D5-2
5,1,0,13,PM,3,158,1/5,PMC5,PMC5/Ch03,3,HVC3/06,2157,FTC-D5,FTC-D5-4
5,1,0,13,PM,4,159,1/5,PMC5,PMC5/Ch04,3,HVC3/06,2157,FTC-D5,FTC-D5-3
5,1,0,13,PM,5,160,1/5,PMC5,PMC5/Ch05,3,HVC3/07,2167,FTC-D6,FTC-D6-1
5,1,0,13,PM,6,161,1/5,PMC5,PMC5/Ch06,3,HVC3/07,2167,FTC-D6,FTC-D6-2
5,1,0,13,PM,7,162,1/5,PMC5,PMC5/Ch07,3,HVC3/07,2167,FTC-D6,FTC-D6-4
5,1,0,13,PM,8,163,1/5,PMC5,PMC5/Ch08,3,HVC3/07,2167,FTC-D6,FTC-D6-3
5,1,0,13,PM,9,164,1/5,PMC5,PMC5/Ch09,3,HVC3/09,2165,FTC-E6,FTC-E6-2
5,1,0,13,PM,10,165,1/5,PMC5,PMC5/Ch10,3,HVC3/09,2165,FTC-E6,FTC-E6-3
5,1,0,13,PM,11,166,1/5,PMC5,PMC5/Ch11,3,HVC3/09,2165,FTC-E6,FTC-E6-1
5,1,0,13,PM,12,167,1/5,PMC5,PMC5/Ch12,3,HVC3/09,2165,FTC-E6,FTC-E6-4
6,1,0,14,PM,1,168,1/6,PMC6,PMC6/Ch01,3,HVC3/04,2148,FTC-C5,FTC-C5-4
6,1,0,14,PM,2,169,1/6,PMC6,PMC6/Ch02,3,HVC3/04,2148,FTC-C5,FTC-C5-3
6,1,0,14,PM,3,170,1/6,PMC6,PMC6/Ch03,3,HVC3/04,2148,FTC-C5,FTC-C5-1
6,1,0,14,PM,4,171,1/6,PMC6,PMC6/Ch04,3,HVC3/04,2148,FTC-C5,FTC-C5-2
6,1,0,14,PM,5,172,1/6,PMC6,PMC6/Ch05,3,HVC3/05,2162,FTC-C6,FTC-C6-4
6,1,0,14,PM,6,173,1/6,PMC6,PMC6/Ch06,3,HVC3/05,2162,FTC-C6,FTC-C6-3
6,1,0,14,PM,7,174,1/6,PMC6,PMC6/Ch07,3,HVC3/05,2162,FTC-C6,FTC-C6-1
6,1,0,14,PM,8,175,1/6,PMC6,PMC6/Ch08,3,HVC3/05,2162,FTC-C6,FTC-C6-2
6,1,0,14,PM,9,176,1/6,PMC6,PMC6/Ch09,3,HVC3/03,2144,FTC-B6,FTC-B6-2
6,1,0,14,PM,10,177,1/6,PMC6,PMC6/Ch10,3,HVC3/03,2144,FTC-B6,FTC-B6-1
6,1,0,14,PM,11,178,1/6,PMC6,PMC6/Ch11,3,HVC3/03,2144,FTC-B6,FTC-B6-3
6,1,0,14,PM,12,179,1/6,PMC6,PMC6/Ch12,3,HVC3/03,2144,FTC-B6,FTC-B6-4
7,1,0,15,PM,1,180,1/7,PMC7,PMC7/Ch01,3,HVC3/02,2136,FTC-B4,FTC-B4-1
7,1,0,15,PM,2,181,1/7,PMC7,PMC7/Ch02,3,HVC3/02,2136,FTC-B4,FTC-B4-2
7,1,0,15,PM,3,182,1/7,PMC7,PMC7/Ch03,3,HVC3/02,2136,FTC-B4,FTC-B4-4
7,1,0,15,PM,4,183,1/7,PMC7,PMC7/Ch04,3,HVC3/02,2136,FTC-B4,FTC-B4-3
7,1,0,15,PM,5,184,1/7,PMC7,PMC7/Ch05,3,HVC3/00,2151,FTC-A4,FTC-A4-1
7,1,0,15,PM,6,185,1/7,PMC7,PMC7/Ch06,3,HVC3/00,2151,FTC-A4,FTC-A4-2
7,1,0,15,PM,7,186,1/7,PMC7,PMC7/Ch07,3,HVC3/00,2151,FTC-A4,FTC-A4-4
7,1,0,15,PM,8,187,1/7,PMC7,PMC7/Ch08,3,HVC3/00,2151,FTC-A4,FTC-A4-3
7,1,0,15,PM,9,188,1/7,PMC7,PMC7/Ch09,3,HVC3/01,2141,FTC-A5,FTC-A5-1
7,1,0,15,PM,10,189,1/7,PMC7,PMC7/Ch10,3,HVC3/01,2141,FTC-A5,FTC-A5-2
7,1,0,15,PM,11,190,1/7,PMC7,PMC7/Ch11,3,HVC3/01,2141,FTC-A5,FTC-A5-4
7,1,0,15,PM,12,191,1/7,PMC7,PMC7/Ch12,3,HVC3/01,2141,FTC-A5,FTC-A5-3
8,1,0,16,PM,1,192,1/8,PMC8,PMC8/Ch01,4,HVC4/00,2121,FTC-B2,FTC-B2-2
8,1,0,16,PM,2,193,1/8,PMC8,PMC8/Ch02,4,HVC4/00,2121,FTC-B2,FTC-B2-3
8,1,0,16,PM,3,194,1/8,PMC8,PMC8/Ch03,4,HVC4/00,2121,FTC-B2,FTC-B2-1
8,1,0,16,PM,4,195,1/8,PMC8,PMC8/Ch04,4,HVC4/00,2121,FTC-B2,FTC-B2-4
8,1,0,16,PM,5,196,1/8,PMC8,PMC8/Ch05,4,HVC4/01,2133,FTC-E2,FTC-E2-1
8,1,0,16,PM,6,197,1/8,PMC8,PMC8/Ch06,4,HVC4/01,2133,FTC-E2,FTC-E2-2
8,1,0,16,PM,7,198,1/8,PMC8,PMC8/Ch07,4,HVC4/01,2133,FTC-E2,FTC-E2-4
8,1,0,16,PM,8,199,1/8,PMC8,PMC8/Ch08,4,HVC4/01,2133,FTC-E2,FTC-E2-3
8,1,0,16,PM,9,200,1/8,PMC8,PMC8/Ch09,N/A,N/A,N/A,N/A,N/A
8,1,0,16,PM,10,201,1/8,PMC8,PMC8/Ch10,N/A,N/A,N/A,N/A,N/A
8,1,0,16,PM,11,202,1/8,PMC8,PMC8/Ch11,N/A,N/A,N/A,N/A,N/A
8,1,0,16,PM,12,203,1/8,PMC8,PMC8/Ch12,N/A,N/A,N/A,N/A,N/A
9,1,0,17,PM,1,204,1/9,PMC9,PMC9/Ch01,4,HVC4/02,2158,FTC-E5,FTC-E5-2
9,1,0,17,PM,2,205,1/9,PMC9,PMC9/Ch02,4,HVC4/02,2158,FTC-E5,FTC-E5-3
9,1,0,17,PM,3,206,1/9,PMC9,PMC9/Ch03,4,HVC4/02,2158,FTC-E5,FTC-E5-1
9,1,0,17,PM,4,207,1/9,PMC9,PMC9/Ch04,4,HVC4/02,2158,FTC-E5,FTC-E5-4
9,1,0,17,PM,5,208,1/9,PMC9,PMC9/Ch05,4,HVC4/03,2143,FTC-B5,FTC-B5-1
9,1,0,17,PM,6,209,1/9,PMC9,PMC9/Ch06,4,HVC4/03,2143,FTC-B5,FTC-B5-2
9,1,0,17,PM,7,210,1/9,PMC9,PMC9/Ch07,4,HVC4/03,2143,FTC-B5,FTC-B5-4
9,1,0,17,PM,8,211,1/9,PMC9,PMC9/Ch08,4,HVC4/03,2143,FTC-B5,FTC-B5-3
9,1,0,17,PM,9,212,1/9,PMC9,PMC9/Ch09,N/A,N/A,N/A,N/A,N/A
9,1,0,17,PM,10,213,1/9,PMC9,PMC9/Ch10,N/A,N/A,N/A,N/A,N/A
9,1,0,17,PM,11,214,1/9,PMC9,PMC9/Ch11,N/A,N/A,N/A,N/A,N/A
9,1,0,17,PM,12,215,1/9,PMC9,PMC9/Ch12,N/A,N/A,N/A,N/A,N/A
9,0,0,18,PM-LCS,1,216,0/9,PMA9,PMA9/Ch01,4,HVC4/11,N/A,FT0-LCS,FTA-LCS
9,0,0,18,PM-LCS,2,217,0/9,PMA9,PMA9/Ch02,4,HVC4/11,N/A,FT0-LCS,FTA-LCS-H
9,0,0,18,PM-LCS,3,218,0/9,PMA9,PMA9/Ch03,4,HVC4/11,N/A,FT0-LCS,FTC-LCS
9,0,0,18,PM-LCS,4,219,0/9,PMA9,PMA9/Ch04,4,HVC4/11,N/A,FT0-LCS,FTC-LCS-H
9,0,0,18,PM-LCS,5,220,0/9,PMA9,PMA9/Ch05,N/A,N/A,N/A,N/A,N/A
