#,"oTOF material assignment, derived from AliceO2"
#,"Detectors/Upgrades/ALICE3/IOTOF/simulation/src/{Detector,Layer}.cxx"
#,Every solid body of the AliceO2 model is silicon (sensor and chip are
#,"medSi); AIR$ appears only as the layer envelope, which has no CAD body."
#,columns: CAD | Mechanical/Part | part number | revision | name | mass | material
CAD,Mechanical/Part,Plate 2_46,,Plate 2_46,,Silicon
CAD,Mechanical/Part,Component1_47,,Component1_47,,Silicon
CAD,Mechanical/Part,Plate 1_47,,Plate 1_47,,Silicon
CAD,Mechanical/Part,Plate 2_47,,Plate 2_47,,Silicon
CAD,Mechanical/Part,Component1_48,,Component1_48,,Silicon
CAD,Mechanical/Part,Plate 1_48,,Plate 1_48,,Silicon
CAD,Mechanical/Part,Plate 2_48,,Plate 2_48,,Silicon
CAD,Mechanical/Part,Component1_49,,Component1_49,,Silicon
CAD,Mechanical/Part,Plate 1_49,,Plate 1_49,,Silicon
CAD,Mechanical/Part,Plate 2_49,,Plate 2_49,,Silicon
CAD,Mechanical/Part,Component1_50,,Component1_50,,Silicon
CAD,Mechanical/Part,Plate 1_50,,Plate 1_50,,Silicon
CAD,Mechanical/Part,Plate 2_50,,Plate 2_50,,Silicon
CAD,Mechanical/Part,Component1_51,,Component1_51,,Silicon
CAD,Mechanical/Part,Plate 1_51,,Plate 1_51,,Silicon
CAD,Mechanical/Part,Plate 2_51,,Plate 2_51,,Silicon
CAD,Mechanical/Part,Component1_52,,Component1_52,,Silicon
CAD,Mechanical/Part,Plate 1_52,,Plate 1_52,,Silicon
CAD,Mechanical/Part,Plate 2_52,,Plate 2_52,,Silicon
CAD,Mechanical/Part,Component1_53,,Component1_53,,Silicon
CAD,Mechanical/Part,Plate 1_53,,Plate 1_53,,Silicon
CAD,Mechanical/Part,Plate 2_53,,Plate 2_53,,Silicon
CAD,Mechanical/Part,Component1_54,,Component1_54,,Silicon
CAD,Mechanical/Part,Plate 1_54,,Plate 1_54,,Silicon
CAD,Mechanical/Part,Plate 2_54,,Plate 2_54,,Silicon
CAD,Mechanical/Part,Component1_55,,Component1_55,,Silicon
CAD,Mechanical/Part,Plate 1_55,,Plate 1_55,,Silicon
CAD,Mechanical/Part,Plate 2_55,,Plate 2_55,,Silicon
CAD,Mechanical/Part,Component1_56,,Component1_56,,Silicon
CAD,Mechanical/Part,Plate 1_56,,Plate 1_56,,Silicon
CAD,Mechanical/Part,Plate 2_56,,Plate 2_56,,Silicon
CAD,Mechanical/Part,Component1_57,,Component1_57,,Silicon
CAD,Mechanical/Part,Plate 1_57,,Plate 1_57,,Silicon
CAD,Mechanical/Part,Plate 2_57,,Plate 2_57,,Silicon
CAD,Mechanical/Part,Component1_58,,Component1_58,,Silicon
CAD,Mechanical/Part,Plate 1_58,,Plate 1_58,,Silicon
CAD,Mechanical/Part,Plate 2_58,,Plate 2_58,,Silicon
CAD,Mechanical/Part,Component1_59,,Component1_59,,Silicon
CAD,Mechanical/Part,Plate 1_59,,Plate 1_59,,Silicon
CAD,Mechanical/Part,Plate 2_59,,Plate 2_59,,Silicon
CAD,Mechanical/Part,Component1_60,,Component1_60,,Silicon
CAD,Mechanical/Part,Plate 1_60,,Plate 1_60,,Silicon
CAD,Mechanical/Part,Plate 2_60,,Plate 2_60,,Silicon
CAD,Mechanical/Part,Component1_61,,Component1_61,,Silicon
CAD,Mechanical/Part,Plate 1_61,,Plate 1_61,,Silicon
CAD,Mechanical/Part,Plate 2_61,,Plate 2_61,,Silicon
CAD,Mechanical/Part,Component1_62,,Component1_62,,Silicon
CAD,Mechanical/Part,Plate 1_62,,Plate 1_62,,Silicon
CAD,Mechanical/Part,Plate 2_62,,Plate 2_62,,Silicon
CAD,Mechanical/Part,Component1_63,,Component1_63,,Silicon
CAD,Mechanical/Part,Plate 1_63,,Plate 1_63,,Silicon
CAD,Mechanical/Part,Plate 2_63,,Plate 2_63,,Silicon
CAD,Mechanical/Part,Component1_64,,Component1_64,,Silicon
CAD,Mechanical/Part,Plate 1_64,,Plate 1_64,,Silicon
CAD,Mechanical/Part,Plate 2_64,,Plate 2_64,,Silicon
CAD,Mechanical/Part,Component1_65,,Component1_65,,Silicon
CAD,Mechanical/Part,Plate 1_65,,Plate 1_65,,Silicon
CAD,Mechanical/Part,Plate 2_65,,Plate 2_65,,Silicon
CAD,Mechanical/Part,Component1_66,,Component1_66,,Silicon
CAD,Mechanical/Part,Plate 1_66,,Plate 1_66,,Silicon
CAD,Mechanical/Part,Plate 2_66,,Plate 2_66,,Silicon
CAD,Mechanical/Part,Component1_67,,Component1_67,,Silicon
CAD,Mechanical/Part,oTOF v2,,oTOF v2,,Silicon
CAD,Mechanical/Part,Plate 1_67,,Plate 1_67,,Silicon
CAD,Mechanical/Part,Plate 2_67,,Plate 2_67,,Silicon
CAD,Mechanical/Part,Module,,Module,,Silicon
